data_sequence,method,encode_speed,decode_speed,quantization_precision,slam_method,rmse,mean,median,std,min,max,sse
underground_mine,draco,6,0,12.0,KISS-ICP,3.7467239749835697,2.659085878226306,1.9620370908421185,2.639545952798344,0.07815729642829156,12.317161856448028,18094.9053621398
underground_mine,draco,0,6,16.0,KISS-ICP,0.17382585028022868,0.14199789574104513,0.12705172449650465,0.10025978172108571,0.026628719059886476,1.0516784861082118,38.947684404855735
underground_mine,draco,0,0,12.0,KISS-ICP,0.17182238552533272,0.14101325746449883,0.12931492117337678,0.09817430105107461,0.016420377402245345,0.992474987081711,38.05505956405711
underground_mine,draco,6,3,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,9,9,12.0,KISS-ICP,3.7467239749835697,2.659085878226306,1.9620370908421185,2.639545952798344,0.07815729642829156,12.317161856448028,18094.9053621398
underground_mine,draco,0,9,20.0,KISS-ICP,0.17441582212091164,0.14311402417526578,0.12972915435860852,0.0996958128031209,0.010644747643292235,1.0254712550525125,39.21251303888028
underground_mine,draco,10,10,8.0,KISS-ICP,0.17995297608340993,0.14941028794175096,0.13635906868239497,0.10029775400495958,0.013060529805364216,1.031178016213277,41.741781872045166
underground_mine,draco,10,10,10.0,KISS-ICP,0.17509497114863629,0.14416089512790378,0.12998260508827536,0.09937748858500754,0.013228997610313618,1.0133742152653882,39.51848285986735
underground_mine,draco,6,6,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,6,0,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,10,10,7.0,KISS-ICP,1.0927719481049196,0.9289289549861539,0.8403952291988072,0.5755358608751961,0.008894061800829502,2.6665654866641946,1539.2600338983125
underground_mine,draco,0,3,12.0,KISS-ICP,0.17182238552533272,0.14101325746449883,0.12931492117337678,0.09817430105107461,0.016420377402245345,0.992474987081711,38.05505956405711
underground_mine,draco,9,0,20.0,KISS-ICP,0.17441582212091164,0.14311402417526578,0.12972915435860852,0.0996958128031209,0.010644747643292235,1.0254712550525125,39.21251303888028
underground_mine,draco,3,3,16.0,KISS-ICP,0.17584958315290578,0.14466490624794032,0.13040598756511548,0.09997570102442573,0.018166534080325047,1.00264760234135,39.85984482872038
underground_mine,draco,9,0,12.0,KISS-ICP,3.7467239749835697,2.659085878226306,1.9620370908421185,2.639545952798344,0.07815729642829156,12.317161856448028,18094.9053621398
underground_mine,draco,9,0,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,9,0,14.0,KISS-ICP,0.17560263418417998,0.14390467320879544,0.1316545141489056,0.10063662435263182,0.012394831693429826,1.0327310866132713,39.74797153569317
underground_mine,draco,3,0,16.0,KISS-ICP,0.17584958315290578,0.14466490624794032,0.13040598756511548,0.09997570102442573,0.018166534080325047,1.00264760234135,39.85984482872038
underground_mine,draco,9,9,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,0,3,20.0,KISS-ICP,0.9607741649548485,0.7973308849548738,0.6595778956459757,0.5360507960461995,0.06866582917573849,2.5424777411797868,1189.859137901601
underground_mine,draco,3,0,18.0,KISS-ICP,0.17288682933006172,0.14119062746688696,0.12847899037977717,0.09977505936509698,0.01860928053246564,1.0189710727910957,38.528024069228636
underground_mine,draco,10,10,11.0,KISS-ICP,0.17477323706492617,0.1428336852292379,0.1304436466102257,0.10071853234627615,0.013841915154802088,1.0163982506160079,39.37338718406307
underground_mine,draco,3,9,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,3,0,20.0,KISS-ICP,0.9607741649548485,0.7973308849548738,0.6595778956459757,0.5360507960461995,0.06866582917573849,2.5424777411797868,1189.859137901601
underground_mine,draco,6,9,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,0,3,16.0,KISS-ICP,0.17584958315290578,0.14466490624794032,0.13040598756511548,0.09997570102442573,0.018166534080325047,1.00264760234135,39.85984482872038
underground_mine,draco,9,6,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
underground_mine,draco,9,9,14.0,KISS-ICP,0.17560263418417998,0.14390467320879544,0.1316545141489056,0.10063662435263182,0.012394831693429826,1.0327310866132713,39.74797153569317
underground_mine,draco,6,6,14.0,KISS-ICP,0.17560263418417998,0.14390467320879544,0.1316545141489056,0.10063662435263182,0.012394831693429826,1.0327310866132713,39.74797153569317
underground_mine,draco,9,6,14.0,KISS-ICP,0.17560263418417998,0.14390467320879544,0.1316545141489056,0.10063662435263182,0.012394831693429826,1.0327310866132713,39.74797153569317
underground_mine,draco,6,3,20.0,KISS-ICP,0.17441582212091164,0.14311402417526578,0.12972915435860852,0.0996958128031209,0.010644747643292235,1.0254712550525125,39.21251303888028
underground_mine,draco,0,0,14.0,KISS-ICP,0.17309922427513968,0.14231159985247946,0.13140555986911295,0.09854313772192805,0.018053759158056116,1.0193836000227776,38.62274712216043
underground_mine,draco,3,6,20.0,KISS-ICP,0.17441582212091164,0.14311402417526578,0.12972915435860852,0.0996958128031209,0.010644747643292235,1.0254712550525125,39.21251303888028
underground_mine,draco,3,6,18.0,KISS-ICP,0.1730275239540928,0.14105497207573744,0.12811372667305604,0.10020987425596885,0.009189363158315495,1.0221672180562305,38.59075749488687
