topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,Draco 14 + ZSTD,558,0.241318,0.0119086,2.60645e-245,50180.9,2307.59,0,23615,522.705,1.26491e-232,6,1.44791
/os_cloud_node/points_decim_1,Draco 12,558,0.232093,0.0109845,0,47127,1319.51,0,23197.6,568.422,3.59788e-90,6,1.39256
/os_cloud_node/points_decim_1,Draco 12 + ZSTD,558,0.21935,0.0114056,0,51281.7,1710.63,0,24139.5,625.785,1.59926e-78,6,1.3161
/os_cloud_node/points_decim_1,Draco 10,558,0.220236,0.0107172,0,49693.6,1194.56,0,24685.8,724.017,5.68871e-81,6,1.32142
/os_cloud_node/points_decim_1,Draco 10 + ZSTD,558,0.204548,0.0106915,0,54210.4,1664.56,4.71771e-253,25631.5,801.547,2.19215e-84,6,1.22729
/os_cloud_node/points_decim_1,Draco 8,558,0.216644,0.0105633,0,51351.5,1393.39,0,25896.2,901.03,2.26626e-121,6,1.29987
/os_cloud_node/points_decim_1,Draco 8 + ZSTD,558,0.194883,0.0100957,0,56257.3,1826.78,3.6584e-153,26938.5,964.711,3.54232e-134,6,1.1693
/os_cloud_node/points_decim_1,Draco 6,558,0.216322,0.010546,0,51428.4,1299.84,1.55513e-42,26096.7,1066.23,0,6,1.29793
/os_cloud_node/points_decim_1,Draco 6 + ZSTD,558,0.185242,0.00985662,0,56454.8,1587.23,9.33346e-56,27148.8,1105.57,0,6,1.11145
/os_cloud_node/points_decim_1,Draco sequential default quantization,558,0.43243,0.00462126,0,27685.8,1040.58,7.89103e-286,13243.6,641.439,3.00254e-293,6,2.59458
/os_cloud_node/points_decim_1,voxel 0.010000,0,0,0,1,0,0,1,0,0,1,0,0
/os_cloud_node/points_decim_1,voxel 0.020000,63,0.748876,0.131482,0.00627007,6746.25,837.546,0.0237979,0,0,1,3.625,2.71468
/os_cloud_node/points_decim_1,voxel 0.050000,549,0.484752,0.0728463,2.22272e-295,5906.77,381.76,3.23677e-20,0,0,1,3.625,1.75723
/os_cloud_node/points_decim_1,voxel 0.100000,557,0.256009,0.0654183,5.86103e-102,5085.15,336.751,2.56025e-223,0,0,1,3.625,0.928031
/os_cloud_node/points_decim_1,voxel 0.200000,558,0.116804,0.0470576,1.94104e-223,4039.57,268.976,0.000158317,0,0,1,3.625,0.423413
/os_cloud_node/points_decim_1,voxel 0.500000,558,0.032635,0.0170703,5.56297e-210,3281.34,181.674,2.72504e-87,0,0,1,3.625,0.118302
/os_cloud_node/points_decim_1,uniform 0.010000,558,0.891977,0.0694033,1.61286e-64,14978.3,775.124,1.1534e-21,0,0,1,3.625,3.23342
/os_cloud_node/points_decim_1,uniform 0.020000,558,0.795274,0.0780644,2.12432e-213,14169.6,1320.82,1.20569e-30,0,0,1,3.625,2.88287
/os_cloud_node/points_decim_1,uniform 0.050000,558,0.485374,0.0727827,1.78629e-297,9806.7,782.974,2.2707e-244,0,0,1,3.625,1.75948
/os_cloud_node/points_decim_1,uniform 0.100000,558,0.256374,0.0659273,6.73222e-99,7372.58,693.194,1.83623e-60,0,0,1,3.625,0.929356
/os_cloud_node/points_decim_1,uniform 0.200000,558,0.116804,0.0470576,1.94104e-223,5864.82,474.181,2.85594e-124,0,0,1,3.625,0.423413
/os_cloud_node/points_decim_1,uniform 0.500000,558,0.032635,0.0170703,5.56297e-210,4956.39,220.314,2.48436e-192,0,0,1,3.625,0.118302
/os_cloud_node/points_decim_1,random 0.100000,558,0.0999985,0,1,1782.61,77.7195,0,0,0,1,3.625,0.362494
/os_cloud_node/points_decim_1,random 0.200000,558,0.199997,0,1,1917.58,77.6526,0,0,0,1,3.625,0.724989
/os_cloud_node/points_decim_1,random 0.300000,558,0.299995,0,1,2112.83,103.106,0,0,0,1,3.625,1.08748
/os_cloud_node/points_decim_1,random 0.400000,558,0.399994,0,1,2313.05,119.215,0,0,0,1,3.625,1.44998
/os_cloud_node/points_decim_1,random 0.600000,558,0.599998,0,1,2462.77,83.3606,0,0,0,1,3.625,2.17499
/os_cloud_node/points_decim_1,random 0.800000,558,0.799995,0,1,2334.57,113.876,0,0,0,1,3.625,2.89998
