topic,method,sample_index,ratio,time_usec,decompress_usec,uncompressed_MB,compressed_MB,compressed_zstd_MB
/os_cloud_node/points_decim_1,ZSTD only,131,0.428981,14829,5150,6,2.57389,
/os_cloud_node/points_decim_1,ZSTD only,132,0.429644,15218,5180,6,2.57786,
/os_cloud_node/points_decim_1,ZSTD only,133,0.431267,15340,5170,6,2.5876,
/os_cloud_node/points_decim_1,ZSTD only,134,0.430706,15359,5207,6,2.58424,
/os_cloud_node/points_decim_1,ZSTD only,135,0.430338,15547,5211,6,2.58203,
/os_cloud_node/points_decim_1,ZSTD only,136,0.42958,15243,5206,6,2.57748,
/os_cloud_node/points_decim_1,ZSTD only,137,0.43489,15279,5247,6,2.60934,
/os_cloud_node/points_decim_1,ZSTD only,138,0.43177,15562,5214,6,2.59062,
/os_cloud_node/points_decim_1,ZSTD only,139,0.433031,15394,5195,6,2.59818,
/os_cloud_node/points_decim_1,ZSTD only,140,0.440853,15737,5242,6,2.64512,
/os_cloud_node/points_decim_1,ZSTD only,141,0.439714,15708,5261,6,2.63829,
/os_cloud_node/points_decim_1,ZSTD only,142,0.439433,15853,5252,6,2.6366,
/os_cloud_node/points_decim_1,ZSTD only,143,0.435728,15238,5340,6,2.61437,
/os_cloud_node/points_decim_1,ZSTD only,144,0.439485,15729,5238,6,2.63691,
/os_cloud_node/points_decim_1,ZSTD only,145,0.43528,15309,5263,6,2.61168,
/os_cloud_node/points_decim_1,ZSTD only,146,0.439543,15671,5249,6,2.63726,
/os_cloud_node/points_decim_1,ZSTD only,147,0.439441,15810,5303,6,2.63664,
/os_cloud_node/points_decim_1,ZSTD only,148,0.434823,15267,5248,6,2.60894,
/os_cloud_node/points_decim_1,ZSTD only,149,0.43022,15064,5202,6,2.58132,
/os_cloud_node/points_decim_1,ZSTD only,150,0.427531,15516,5183,6,2.56519,
/os_cloud_node/points_decim_1,ZSTD only,151,0.429441,15661,5204,6,2.57665,
/os_cloud_node/points_decim_1,ZSTD only,152,0.432934,16053,5418,6,2.5976,
/os_cloud_node/points_decim_1,ZSTD only,153,0.434772,15482,5257,6,2.60863,
/os_cloud_node/points_decim_1,ZSTD only,154,0.437528,15469,5240,6,2.62517,
/os_cloud_node/points_decim_1,ZSTD only,155,0.433291,15791,5222,6,2.59975,
/os_cloud_node/points_decim_1,ZSTD only,156,0.434924,15562,5215,6,2.60955,
/os_cloud_node/points_decim_1,ZSTD only,157,0.432907,15606,5315,6,2.59744,
/os_cloud_node/points_decim_1,ZSTD only,158,0.43167,15400,5210,6,2.59002,
/os_cloud_node/points_decim_1,ZSTD only,159,0.433232,15535,5211,6,2.59939,
/os_cloud_node/points_decim_1,ZSTD only,160,0.434987,15555,5239,6,2.60992,
/os_cloud_node/points_decim_1,ZSTD only,161,0.434265,15338,5247,6,2.60559,
/os_cloud_node/points_decim_1,ZSTD only,162,0.429926,15518,5333,6,2.57955,
/os_cloud_node/points_decim_1,ZSTD only,163,0.431231,15556,5237,6,2.58739,
/os_cloud_node/points_decim_1,ZSTD only,164,0.427944,15746,5248,6,2.56766,
/os_cloud_node/points_decim_1,ZSTD only,165,0.428833,15477,5182,6,2.573,
/os_cloud_node/points_decim_1,ZSTD only,166,0.426689,15514,5199,6,2.56013,
/os_cloud_node/points_decim_1,ZSTD only,167,0.428012,15497,5189,6,2.56807,
/os_cloud_node/points_decim_1,ZSTD only,168,0.432213,15606,5243,6,2.59328,
/os_cloud_node/points_decim_1,ZSTD only,169,0.431721,15261,5240,6,2.59032,
/os_cloud_node/points_decim_1,ZSTD only,170,0.434804,15355,5230,6,2.60882,
/os_cloud_node/points_decim_1,ZSTD only,171,0.435875,15364,5221,6,2.61525,
/os_cloud_node/points_decim_1,ZSTD only,172,0.434402,15677,5214,6,2.60641,
/os_cloud_node/points_decim_1,ZSTD only,173,0.432067,15541,5187,6,2.5924,
/os_cloud_node/points_decim_1,ZSTD only,174,0.434073,15079,5349,6,2.60444,
/os_cloud_node/points_decim_1,ZSTD only,175,0.433609,15232,5217,6,2.60165,
/os_cloud_node/points_decim_1,ZSTD only,176,0.435101,15605,5255,6,2.61061,
/os_cloud_node/points_decim_1,ZSTD only,177,0.435638,15822,5282,6,2.61383,
/os_cloud_node/points_decim_1,ZSTD only,178,0.436465,15542,5273,6,2.61879,
/os_cloud_node/points_decim_1,ZSTD only,179,0.434227,15542,5346,6,2.60536,
/os_cloud_node/points_decim_1,ZSTD only,180,0.42915,15776,5282,6,2.5749,
/os_cloud_node/points_decim_1,ZSTD only,181,0.427547,15697,5239,6,2.56528,
/os_cloud_node/points_decim_1,ZSTD only,182,0.423322,15784,5220,6,2.53993,
/os_cloud_node/points_decim_1,ZSTD only,183,0.422337,15229,5287,6,2.53402,
/os_cloud_node/points_decim_1,ZSTD only,184,0.41872,15692,5191,6,2.51232,
/os_cloud_node/points_decim_1,ZSTD only,185,0.407777,15219,5120,6,2.44666,
/os_cloud_node/points_decim_1,ZSTD only,186,0.4197,15651,5166,6,2.5182,
/os_cloud_node/points_decim_1,ZSTD only,187,0.420437,15596,5153,6,2.52262,
/os_cloud_node/points_decim_1,ZSTD only,188,0.419476,15193,5248,6,2.51686,
/os_cloud_node/points_decim_1,ZSTD only,189,0.411031,15443,5144,6,2.46619,
/os_cloud_node/points_decim_1,ZSTD only,190,0.421397,15614,5063,6,2.52838,
/os_cloud_node/points_decim_1,ZSTD only,191,0.406201,15432,5170,6,2.4372,
/os_cloud_node/points_decim_1,ZSTD only,192,0.393112,14860,5089,6,2.35867,
/os_cloud_node/points_decim_1,ZSTD only,193,0.399436,14547,5559,6,2.39662,
/os_cloud_node/points_decim_1,ZSTD only,194,0.421216,15337,5173,6,2.5273,
/os_cloud_node/points_decim_1,ZSTD only,195,0.42569,15725,5209,6,2.55414,
/os_cloud_node/points_decim_1,ZSTD only,196,0.43059,15452,5186,6,2.58354,
/os_cloud_node/points_decim_1,ZSTD only,197,0.422557,15357,5138,6,2.53534,
/os_cloud_node/points_decim_1,ZSTD only,198,0.415769,14947,5153,6,2.49461,
/os_cloud_node/points_decim_1,ZSTD only,199,0.430018,15492,5206,6,2.58011,
/os_cloud_node/points_decim_1,ZSTD only,200,0.423285,15307,5177,6,2.53971,
/os_cloud_node/points_decim_1,ZSTD only,201,0.428289,13397,5177,6,2.56974,
/os_cloud_node/points_decim_1,ZSTD only,202,0.430137,15430,5189,6,2.58082,
/os_cloud_node/points_decim_1,ZSTD only,203,0.432924,15002,5203,6,2.59754,
/os_cloud_node/points_decim_1,ZSTD only,204,0.431699,15756,5253,6,2.59019,
/os_cloud_node/points_decim_1,ZSTD only,205,0.434219,15729,5229,6,2.60531,
/os_cloud_node/points_decim_1,ZSTD only,206,0.437532,15489,5251,6,2.62519,
/os_cloud_node/points_decim_1,ZSTD only,207,0.441067,15681,5245,6,2.6464,
/os_cloud_node/points_decim_1,ZSTD only,208,0.439999,15815,5356,6,2.64,
/os_cloud_node/points_decim_1,ZSTD only,209,0.440881,15174,5271,6,2.64529,
/os_cloud_node/points_decim_1,ZSTD only,210,0.434633,13815,5292,6,2.6078,
/os_cloud_node/points_decim_1,ZSTD only,211,0.435781,15645,5337,6,2.61469,
/os_cloud_node/points_decim_1,ZSTD only,212,0.435225,15256,5281,6,2.61135,
/os_cloud_node/points_decim_1,ZSTD only,213,0.436972,15020,5253,6,2.62183,
/os_cloud_node/points_decim_1,ZSTD only,214,0.436264,15261,5250,6,2.61759,
/os_cloud_node/points_decim_1,ZSTD only,215,0.437364,15332,5234,6,2.62419,
/os_cloud_node/points_decim_1,ZSTD only,216,0.432107,15392,5220,6,2.59264,
/os_cloud_node/points_decim_1,ZSTD only,217,0.429358,15523,5319,6,2.57615,
/os_cloud_node/points_decim_1,ZSTD only,218,0.434814,15378,5184,6,2.60888,
/os_cloud_node/points_decim_1,ZSTD only,219,0.43448,15377,5160,6,2.60688,
/os_cloud_node/points_decim_1,ZSTD only,220,0.431713,15437,5205,6,2.59028,
/os_cloud_node/points_decim_1,ZSTD only,221,0.438127,15772,5207,6,2.62876,
/os_cloud_node/points_decim_1,ZSTD only,222,0.440494,15358,5263,6,2.64296,
/os_cloud_node/points_decim_1,ZSTD only,223,0.444963,15497,5174,6,2.66978,
/os_cloud_node/points_decim_1,ZSTD only,224,0.44682,15387,5201,6,2.68092,
/os_cloud_node/points_decim_1,ZSTD only,225,0.456209,15612,5245,6,2.73726,
/os_cloud_node/points_decim_1,ZSTD only,226,0.460573,15713,5372,6,2.76344,
/os_cloud_node/points_decim_1,ZSTD only,227,0.464712,15578,5597,6,2.78827,
/os_cloud_node/points_decim_1,ZSTD only,228,0.469263,15772,5576,6,2.81558,
