method,slam_method,Sequence,Compression,ATERMS,ATEMAX
draco,SPARK-FAST-LIO,stairs,6.00,1.38,2.65
draco,SPARK-FAST-LIO,park,6,0.71,2.40
draco,SPARK-FAST-LIO,diag,6,121821.15,265429.07
draco,SPARK-FAST-LIO,ciampino,6,114.37,286.56
cloudini,LOAM,maths_easy,NA,0.09,0.19
cloudini,LOAM,quad_easy,NA,0.10,0.22
cloudini,LOAM,colosseo,NA,2.81,6.23
cloudini,LOAM,pincio,NA,1.32,2.61
cloudini,LOAM,maths_easy,0.001,0.09,0.19
cloudini,LOAM,quad_easy,0.001,0.10,0.23
cloudini,LOAM,colosseo,0.001,2.85,6.18
cloudini,LOAM,pincio,0.001,1.44,2.79
cloudini,LOAM,maths_easy,0.01,0.09,0.18
cloudini,LOAM,quad_easy,0.01,0.10,0.23
cloudini,LOAM,colosseo,0.01,3.01,6.09
cloudini,LOAM,pincio,0.01,1.40,2.75
cloudini,LOAM,maths_easy,0.1,0.10,0.19
cloudini,LOAM,quad_easy,0.1,0.10,0.25
cloudini,LOAM,colosseo,0.1,2.53,4.97
cloudini,LOAM,pincio,0.1,0.45,1.05
cloudini,LOAM,maths_easy,0.2,0.12,0.27
cloudini,LOAM,quad_easy,0.2,0.11,0.28
cloudini,LOAM,colosseo,0.2,3.76,7.70
cloudini,LOAM,pincio,0.2,0.51,1.08
cloudini,LOAM,maths_easy,0.5,1.05,3.26
cloudini,LOAM,quad_easy,0.5,4.42,10.05
cloudini,LOAM,colosseo,0.5,140.04,325.42
cloudini,LOAM,pincio,0.5,28.11,76.13
cloudini,LOAM,underground_easy,NA,0.16,1.00
cloudini,LOAM,cloister,NA,0.12,0.33
cloudini,LOAM,campus,NA,1.62,4.50
cloudini,LOAM,spagna,NA,1.10,2.11
cloudini,LOAM,underground_easy,0.001,0.16,1.00
cloudini,LOAM,cloister,0.001,0.12,0.33
cloudini,LOAM,campus,0.001,1.72,4.77
cloudini,LOAM,spagna,0.001,1.03,2.06
cloudini,LOAM,underground_easy,0.01,0.16,1.00
cloudini,LOAM,cloister,0.01,0.12,0.33
cloudini,LOAM,campus,0.01,1.58,4.25
cloudini,LOAM,spagna,0.01,1.10,2.15
cloudini,LOAM,underground_easy,0.1,0.17,1.00
cloudini,LOAM,cloister,0.1,0.13,0.33
cloudini,LOAM,campus,0.1,1.15,2.74
cloudini,LOAM,spagna,0.1,1.17,2.34
cloudini,LOAM,underground_easy,0.2,0.18,0.99
cloudini,LOAM,cloister,0.2,0.22,0.84
cloudini,LOAM,campus,0.2,1.11,2.43
cloudini,LOAM,spagna,0.2,1.13,2.44
cloudini,LOAM,underground_easy,0.5,2.09,8.28
cloudini,LOAM,cloister,0.5,18.03,31.03
cloudini,LOAM,campus,0.5,103.17,300.66
cloudini,LOAM,spagna,0.5,33.17,107.66
cloudini,LOAM,stairs,NA,0.42,0.79
cloudini,LOAM,park,NA,5.75,18.30
cloudini,LOAM,diag,NA,0.61,1.66
cloudini,LOAM,ciampino,NA,5.92,16.33
cloudini,LOAM,stairs,0.001,0.42,0.71
cloudini,LOAM,park,0.001,1.95,4.61
cloudini,LOAM,diag,0.001,0.41,1.26
cloudini,LOAM,ciampino,0.001,5.90,16.35
cloudini,LOAM,stairs,0.01,0.45,0.84
cloudini,LOAM,park,0.01,0.67,1.84
cloudini,LOAM,diag,0.01,0.35,1.05
cloudini,LOAM,ciampino,0.01,5.88,16.40
cloudini,LOAM,stairs,0.1,2.02,3.75
cloudini,LOAM,park,0.1,17.34,45.72
cloudini,LOAM,diag,0.1,0.87,2.38
cloudini,LOAM,ciampino,0.1,8.48,28.10
cloudini,LOAM,stairs,0.2,2.24,3.88
cloudini,LOAM,park,0.2,23.82,93.14
cloudini,LOAM,diag,0.2,0.99,2.91
