data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
maths_institute,draco,2952693764.0,0.0,3.0,18.0,,KISS-ICP,0.116929957185686,0.1069137920588199,0.1015549598232814,0.0473503532727028,0.0101777413145464,0.3140909750808141,29.53284815688414
maths_institute,draco,2952693764.0,3.0,0.0,18.0,,KISS-ICP,0.116929957185686,0.1069137920588199,0.1015549598232814,0.0473503532727028,0.0101777413145464,0.3140909750808141,29.53284815688414
maths_institute,draco,2952693764.0,3.0,3.0,18.0,,KISS-ICP,0.116929957185686,0.1069137920588199,0.1015549598232814,0.0473503532727028,0.0101777413145464,0.3140909750808141,29.53284815688414
maths_institute,draco,4294576260.0,0.0,6.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,0.0,9.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4294576260.0,3.0,6.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,3.0,9.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4294576260.0,6.0,0.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4294576260.0,6.0,3.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4294576260.0,6.0,6.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,6.0,9.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,9.0,0.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,9.0,3.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,9.0,6.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,4365303836.0,9.0,9.0,20.0,,KISS-ICP,0.1097252951230222,0.0991955907882622,0.0933633050672806,0.0469028267591831,0.0078605137252981,0.3144672252914838,26.005623242042148
maths_institute,draco,3106625776.0,0.0,0.0,20.0,,KISS-ICP,0.11343156699238,0.1027639038098423,0.0966350998797728,0.0480239571891809,0.0052356184607544,0.3099288368658591,27.792116043149093
maths_institute,draco,3106625776.0,0.0,3.0,20.0,,KISS-ICP,0.11343156699238,0.1027639038098423,0.0966350998797728,0.0480239571891809,0.0052356184607544,0.3099288368658591,27.792116043149093
maths_institute,draco,3106625776.0,3.0,0.0,20.0,,KISS-ICP,0.11343156699238,0.1027639038098423,0.0966350998797728,0.0480239571891809,0.0052356184607544,0.3099288368658591,27.792116043149093
maths_institute,draco,3106625776.0,3.0,3.0,20.0,,KISS-ICP,0.11343156699238,0.1027639038098423,0.0966350998797728,0.0480239571891809,0.0052356184607544,0.3099288368658591,27.792116043149093
maths_institute,raw_packets,3443091345.0,,,,,,,,,,,,
maths_institute,uncompressed,13590126000.0,,,,,LOAM,0.09,,,,,0.19,
maths_institute,uncompressed,13590126000.0,,,,,LOAM,0.09,,,,,0.19,
maths_institute,uncompressed,13590126000.0,,,,,LOAM,0.09,,,,,0.19,
maths_institute,uncompressed,13590126000.0,,,,,LOAM,0.09,,,,,0.19,
maths_institute,uncompressed,13590126000.0,,,,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,uncompressed,13590126000.0,,,,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,uncompressed,13590126000.0,,,,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,uncompressed,13590126000.0,,,,,SPARK-FAST-LIO,0.1,,,,,0.43,
maths_institute,uncompressed,13590126000.0,,,,,,,,,,,,
maths_institute,uncompressed,13590126000.0,,,,,,,,,,,,
park,cloudini,29741233846.0,,,0.001,,LIORF,0.5161756383654473,0.4854445341513194,0.4647482841449015,0.1754448457623807,0.0205068726415332,1.3932850966772716,4180.667511772263
park,cloudini,29741233846.0,,,0.001,,LOAM,1.95,,,,,4.61,
park,cloudini,29741233846.0,,,0.001,,SPARK-FAST-LIO,0.3,,,,,0.58,
park,cloudini,28055277926.0,,,0.01,,LIORF,0.4781181773747866,0.449390618391687,0.4312819519398391,0.1632331572865178,0.0165068183039261,1.3820680463288555,3586.915394194325
park,cloudini,28055277926.0,,,0.01,,LOAM,0.67,,,,,1.84,
park,cloudini,28055277926.0,,,0.01,,SPARK-FAST-LIO,0.29,,,,,0.57,
park,cloudini,26940580574.0,,,0.1,25.1,KISS-ICP,50.61215706385855,38.30818004731988,23.198064125061546,33.076786181834684,10.352436173342348,172.01951881169046,40201600.40705404
park,cloudini,26940580574.0,,,0.1,25.1,LIORF,0.5011395583714957,0.4690937464289548,0.4481612753266463,0.1763289937191987,0.0323798507966501,1.5403525711967554,3940.651186634329
park,cloudini,26940580574.0,,,0.1,,LOAM,17.34,,,,,45.72,
park,cloudini,26940580574.0,,,0.1,,LOAM,17.34,,,,,45.72,
park,cloudini,26940580574.0,,,0.1,,SPARK-FAST-LIO,0.3,,,,,0.56,
park,cloudini,26940580574.0,,,0.1,,SPARK-FAST-LIO,0.3,,,,,0.56,
park,cloudini,26618529186.0,,,0.2,24.8,KISS-ICP,29.66839065437774,25.23268325978926,17.865075037952323,15.605290754481922,5.984287049184998,65.96620428775582,13814069.162701938
park,cloudini,26618529186.0,,,0.2,24.8,LIORF,0.4432107660044162,0.4130813992717865,0.3956379748920101,0.1606223542284332,0.0221636336506286,1.469495014056712,3082.273872656956
park,cloudini,26618529186.0,,,0.2,,LOAM,23.82,,,,,93.14,
park,cloudini,26618529186.0,,,0.2,,LOAM,23.82,,,,,93.14,
park,cloudini,26618529186.0,,,0.2,,SPARK-FAST-LIO,0.29,,,,,0.64,
park,cloudini,26618529186.0,,,0.2,,SPARK-FAST-LIO,0.29,,,,,0.64,
park,cloudini,,,,0.3,24.6,KISS-ICP,57.17978860408625,38.42320148993429,13.156514344400604,42.34602474934221,8.232990660768834,187.7855324016697,51311975.96013662
park,cloudini,,,,0.4,24.5,KISS-ICP,68.59724692791005,43.01447124125385,21.273444639938056,53.43535861135404,1.775746516636332,269.5986832104058,73849408.39787549
park,cloudini,26133438518.0,,,0.5,,LIORF,25.90928167621796,23.45754577754313,18.13967112297768,11.001564573826414,4.879377588454194,48.89056879422109,10533225.150655584
park,cloudini,26133438518.0,,,0.5,,LOAM,58.74,,,,,147.0,
park,cloudini,26133438518.0,,,0.5,,SPARK-FAST-LIO,0.4,,,,,0.94,
park,cloudini,,,,0.6,24.3,KISS-ICP,75.38834733650472,66.90243421056992,70.87342937088401,34.748628905754586,1.848724269090396,122.9905636111721,89195325.33434805
park,cloudini,,,,0.8,24.2,KISS-ICP,75.39024362299298,66.90454554205364,70.87379041531652,34.74867795104586,1.8399163758275672,122.9990511561932,89199812.55348626
park,draco,23303375900.0,10.0,10.0,6.0,21.7,KISS-ICP,78.09771814887465,71.24634709098568,65.92001239508329,31.98767897569095,2.4251982183096006,171.27816340026894,95721685.68547836
park,draco,23303375900.0,10.0,10.0,6.0,21.7,LIORF,11328.525657335407,8706.111681618288,5297.7082654859005,7248.386920970502,2170.093076387992,29172.486056992373,224843784732.72443
park,draco,23303375900.0,10.0,10.0,6.0,,LOAM,117.68,,,,,212.52,
park,draco,23303375900.0,10.0,10.0,6.0,,LOAM,117.68,,,,,212.52,
park,draco,23303375900.0,10.0,10.0,6.0,,SPARK-FAST-LIO,0.71,,,,,2.4,
park,draco,23303375900.0,10.0,10.0,6.0,,SPARK-FAST-LIO,0.71,,,,,2.4,
park,draco,,10.0,10.0,7.0,21.7,KISS-ICP,28.87302275611672,22.3294834651997,16.183064318796134,18.30425117978354,2.0861627306520947,107.5754989269345,13083325.747622725
park,draco,,10.0,10.0,7.0,21.7,LIORF,3006.6099406048666,1902.5728894935885,1074.2363050139802,2328.072106939134,132.7339556685848,10150.113590183071,120056299991.39124
park,draco,23309508528.0,10.0,10.0,8.0,21.7,KISS-ICP,53.28244394304866,35.184648312345864,18.400588520534463,40.0132397548694,4.136920535350821,230.85432776680548,44555561.55794747
park,draco,23309508528.0,10.0,10.0,8.0,21.7,LIORF,0.5285913343104892,0.4897298130346994,0.4773208363512802,0.1989309149758821,0.0196098573956285,1.769840567362106,4383.924051730769
park,draco,23309508528.0,10.0,10.0,8.0,,LOAM,39.93,,,,,165.08,
park,draco,23309508528.0,10.0,10.0,8.0,,LOAM,39.93,,,,,165.08,
park,draco,23309508528.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.37,,,,,1.06,
park,draco,23309508528.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.37,,,,,1.06,
park,draco,,10.0,10.0,9.0,21.8,KISS-ICP,65.31913815678784,52.46292448440697,38.6133332739832,38.91312585862191,14.449115872461658,171.44490854902415,66959860.47100766
park,draco,,10.0,10.0,9.0,21.8,LIORF,0.45479542624199,0.420414297311467,0.4056032079375621,0.1734667067386097,0.0190130064860735,2.051389940283539,3245.3020229736385
park,draco,23404065792.0,10.0,10.0,10.0,21.8,KISS-ICP,62.90409625197013,43.70147896982788,26.17163833179803,45.2449561954348,2.744851530394569,296.00319955212035,62099986.05489916
park,draco,23404065792.0,10.0,10.0,10.0,21.8,LIORF,0.4780599384511651,0.4431516309901823,0.4277518516830569,0.1793263413519416,0.0136834963555168,1.437351588079432,3585.813071557809
park,draco,23404065792.0,10.0,10.0,10.0,,LOAM,9.92,,,,,35.09,
park,draco,23404065792.0,10.0,10.0,10.0,,LOAM,9.92,,,,,35.09,
park,draco,23404065792.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.38,,,,,0.89,
park,draco,23404065792.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.38,,,,,0.89,
park,draco,,10.0,10.0,11.0,22.0,KISS-ICP,79.03988799604913,64.50055844121493,42.472801604711336,45.68349652992215,10.311801300898184,202.9598502457335,98045187.31915288
park,draco,,10.0,10.0,11.0,22.0,LIORF,0.4614761063493229,0.4248901844295427,0.410691567067637,0.1800792267496749,0.0222058651904763,1.4792383713938708,3341.345486714594
park,draco,,0.0,6.0,12.0,21.7,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,0.0,9.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,3.0,6.0,12.0,21.7,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,3.0,9.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,6.0,0.0,12.0,21.7,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,6.0,3.0,12.0,21.7,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,6.0,6.0,12.0,21.7,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,6.0,9.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,9.0,0.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,9.0,3.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,9.0,6.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,9.0,9.0,12.0,22.3,KISS-ICP,71.3053874076436,49.058890238828845,27.654594914201788,51.74633863268668,5.088989483740585,262.0174056937223,79795488.14201985
park,draco,,0.0,0.0,12.0,17.3,KISS-ICP,78.14275504903918,53.99736319716136,33.322570461241355,56.485174465588585,1.8825306499811607,286.4657880734261,95832117.87547004
park,draco,,0.0,3.0,12.0,17.3,KISS-ICP,78.14275504903918,53.99736319716136,33.322570461241355,56.485174465588585,1.8825306499811607,286.4657880734261,95832117.87547004
park,draco,,3.0,0.0,12.0,17.3,KISS-ICP,78.14275504903918,53.99736319716136,33.322570461241355,56.485174465588585,1.8825306499811607,286.4657880734261,95832117.87547004
park,draco,,3.0,3.0,12.0,17.3,KISS-ICP,78.14275504903918,53.99736319716136,33.322570461241355,56.485174465588585,1.8825306499811607,286.4657880734261,95832117.87547004
park,draco,23867104184.0,10.0,10.0,12.0,,LOAM,6.85,,,,,25.36,
park,draco,23867104184.0,10.0,10.0,12.0,,SPARK-FAST-LIO,0.35,,,,,0.85,
park,draco,23867104184.0,10.0,10.0,12.0,,,,,,,,,
park,draco,,0.0,6.0,14.0,22.7,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,0.0,9.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,3.0,6.0,14.0,22.7,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,3.0,9.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,6.0,0.0,14.0,22.7,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,6.0,3.0,14.0,22.7,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,6.0,6.0,14.0,22.7,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,6.0,9.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,9.0,0.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,9.0,3.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,9.0,6.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,9.0,9.0,14.0,23.3,KISS-ICP,40.870839241362695,28.57326332169823,19.01234107364796,29.22317784639801,2.110652438186128,156.43463139395865,26215657.80160325
park,draco,,0.0,0.0,14.0,18.4,KISS-ICP,47.42517458169907,36.74304647972445,23.982041944569744,29.98492487056527,11.00908910116902,147.54250911142998,35298115.90733814
park,draco,,0.0,3.0,14.0,18.4,KISS-ICP,47.42517458169907,36.74304647972445,23.982041944569744,29.98492487056527,11.00908910116902,147.54250911142998,35298115.90733814
park,draco,,3.0,0.0,14.0,18.4,KISS-ICP,47.42517458169907,36.74304647972445,23.982041944569744,29.98492487056527,11.00908910116902,147.54250911142998,35298115.90733814
park,draco,,3.0,3.0,14.0,18.4,KISS-ICP,47.42517458169907,36.74304647972445,23.982041944569744,29.98492487056527,11.00908910116902,147.54250911142998,35298115.90733814
park,draco,24930498628.0,10.0,10.0,14.0,,LOAM,8.59,,,,,29.29,
park,draco,24930498628.0,10.0,10.0,14.0,,SPARK-FAST-LIO,0.34,,,,,0.79,
park,draco,24930498628.0,10.0,10.0,14.0,,,,,,,,,
park,draco,,0.0,0.0,16.0,19.5,KISS-ICP,47.63540281250472,33.84507479100897,18.021675912613148,33.52077734033912,2.191116655104,181.7040161616752,35611751.34781379
park,draco,,0.0,3.0,16.0,19.5,KISS-ICP,47.63540281250472,33.84507479100897,18.021675912613148,33.52077734033912,2.191116655104,181.7040161616752,35611751.34781379
park,draco,,3.0,0.0,16.0,19.5,KISS-ICP,47.63540281250472,33.84507479100897,18.021675912613148,33.52077734033912,2.191116655104,181.7040161616752,35611751.34781379
park,draco,,3.0,3.0,16.0,19.5,KISS-ICP,47.63540281250472,33.84507479100897,18.021675912613148,33.52077734033912,2.191116655104,181.7040161616752,35611751.34781379
park,draco,,0.0,6.0,16.0,24.4,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,0.0,9.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,3.0,6.0,16.0,24.4,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,3.0,9.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,6.0,0.0,16.0,24.4,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,6.0,3.0,16.0,24.4,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,6.0,6.0,16.0,24.4,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,6.0,9.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,9.0,0.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,9.0,3.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,9.0,6.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,9.0,9.0,16.0,24.9,KISS-ICP,54.06206209828884,40.28218083265675,25.92404498653929,36.05624031543472,11.962881562815497,178.26387876492737,45868956.72626214
park,draco,,0.0,0.0,18.0,20.6,KISS-ICP,53.31217106754421,35.67083765973893,19.99200748258251,39.62043569406637,4.698853219581357,228.01296672263263,44605291.94227743
park,draco,,0.0,3.0,18.0,20.6,KISS-ICP,53.31217106754421,35.67083765973893,19.99200748258251,39.62043569406637,4.698853219581357,228.01296672263263,44605291.94227743
park,draco,,3.0,0.0,18.0,20.6,KISS-ICP,53.31217106754421,35.67083765973893,19.99200748258251,39.62043569406637,4.698853219581357,228.01296672263263,44605291.94227743
park,draco,,3.0,3.0,18.0,20.6,KISS-ICP,53.31217106754421,35.67083765973893,19.99200748258251,39.62043569406637,4.698853219581357,228.01296672263263,44605291.94227743
park,draco,,0.0,6.0,18.0,26.7,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,0.0,9.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,3.0,6.0,18.0,26.7,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,3.0,9.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,6.0,0.0,18.0,26.7,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,6.0,3.0,18.0,26.7,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,6.0,6.0,18.0,26.7,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,6.0,9.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,9.0,0.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,9.0,3.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,9.0,6.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,9.0,9.0,18.0,27.2,KISS-ICP,54.396869479604725,41.17412472160385,25.075932775133683,35.54871112418793,2.3499637558941227,179.14215287942704,46438850.607689
park,draco,,0.0,6.0,20.0,29.5,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,0.0,9.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,3.0,6.0,20.0,29.5,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,3.0,9.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,6.0,0.0,20.0,29.5,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,6.0,3.0,20.0,29.5,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,6.0,6.0,20.0,29.5,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,6.0,9.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,9.0,0.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,9.0,3.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,9.0,6.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,9.0,9.0,20.0,29.9,KISS-ICP,65.85217747348165,47.886586375089,28.059117512665274,45.20380651383314,3.807680005971427,184.62472312332332,68057176.6089151
park,draco,,0.0,0.0,20.0,21.6,KISS-ICP,69.565922882963,43.74805706991624,18.68640775265596,54.08812373493563,0.466542762938149,281.4294903480361,75949820.23120682
park,draco,,0.0,3.0,20.0,21.6,KISS-ICP,69.565922882963,43.74805706991624,18.68640775265596,54.08812373493563,0.466542762938149,281.4294903480361,75949820.23120682
park,draco,,3.0,0.0,20.0,21.6,KISS-ICP,69.565922882963,43.74805706991624,18.68640775265596,54.08812373493563,0.466542762938149,281.4294903480361,75949820.23120682
park,draco,,3.0,3.0,20.0,21.6,KISS-ICP,69.565922882963,43.74805706991624,18.68640775265596,54.08812373493563,0.466542762938149,281.4294903480361,75949820.23120682
park,uncompressed,98918500450.0,,,,,LOAM,5.75,,,,,18.3,
park,uncompressed,98918500450.0,,,,,LOAM,5.75,,,,,18.3,
park,uncompressed,98918500450.0,,,,,SPARK-FAST-LIO,0.29,,,,,0.56,
park,uncompressed,98918500450.0,,,,,SPARK-FAST-LIO,0.29,,,,,0.56,
park,uncompressed,98918500450.0,,,,,,,,,,,,
pincio,cloudini,36209826168.0,,,0.001,,LOAM,1.44,,,,,2.79,
pincio,cloudini,36209826168.0,,,0.001,,SPARK-FAST-LIO,2.29,,,,,4.38,
pincio,cloudini,36209826168.0,,,0.001,,,,,,,,,
pincio,cloudini,35417787480.0,,,0.01,,LOAM,1.4,,,,,2.75,
pincio,cloudini,35417787480.0,,,0.01,,SPARK-FAST-LIO,2.19,,,,,4.25,
pincio,cloudini,35417787480.0,,,0.01,,,,,,,,,
pincio,cloudini,33428060192.0,,,0.1,,LOAM,0.45,,,,,1.05,
pincio,cloudini,33428060192.0,,,0.1,,SPARK-FAST-LIO,2.13,,,,,4.19,
pincio,cloudini,33428060192.0,,,0.1,,,,,,,,,
pincio,cloudini,32923765220.0,,,0.2,,LOAM,0.51,,,,,1.08,
pincio,cloudini,32923765220.0,,,0.2,,SPARK-FAST-LIO,1.37,,,,,2.71,
pincio,cloudini,32923765220.0,,,0.2,,,,,,,,,
pincio,cloudini,32620592168.0,,,0.5,,LOAM,28.11,,,,,76.13,
pincio,cloudini,32620592168.0,,,0.5,,SPARK-FAST-LIO,0.45,,,,,0.75,
pincio,cloudini,32620592168.0,,,0.5,,,,,,,,,
pincio,draco,29569881800.0,10.0,10.0,6.0,,LOAM,65.27,,,,,132.25,
pincio,draco,29569881800.0,10.0,10.0,6.0,,SPARK-FAST-LIO,1.06,,,,,6.6,
pincio,draco,29569881800.0,10.0,10.0,6.0,,,,,,,,,
pincio,draco,29576815300.0,10.0,10.0,8.0,,LOAM,0.75,,,,,4.87,
pincio,draco,29576815300.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.38,,,,,0.99,
pincio,draco,29576815300.0,10.0,10.0,8.0,,,,,,,,,
pincio,draco,29663964860.0,10.0,10.0,10.0,,LOAM,0.37,,,,,0.87,
pincio,draco,29663964860.0,10.0,10.0,10.0,,SPARK-FAST-LIO,2.17,,,,,4.21,
pincio,draco,29663964860.0,10.0,10.0,10.0,,,,,,,,,
pincio,draco,30000681284.0,10.0,10.0,12.0,,LOAM,0.36,,,,,0.98,
pincio,draco,30000681284.0,10.0,10.0,12.0,,SPARK-FAST-LIO,1.6,,,,,3.12,
