data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
cloister,cloudini,4800823136.0,,,0.2,,LOAM,0.22,,,,,0.84,
cloister,cloudini,4800823136.0,,,0.2,,LOAM,0.22,,,,,0.84,
cloister,cloudini,4800823136.0,,,0.2,,SPARK-FAST-LIO,0.1,,,,,0.39,
cloister,cloudini,4800823136.0,,,0.2,,SPARK-FAST-LIO,0.1,,,,,0.39,
cloister,cloudini,4757115220.0,,,0.3,4.4,KISS-ICP,0.4240349166373378,0.3315376675282425,0.2537401686661561,0.2643641154498216,0.0147174680860049,2.1137566466888185,501.11823654051614
cloister,cloudini,4724143400.0,,,0.4,4.4,KISS-ICP,17.56231710209894,13.167119906828576,10.187946656658715,11.621615006266367,0.7084687280425938,54.9871493364891,859608.2948191648
cloister,cloudini,4697483700.0,,,0.5,,LIORF,2864.430560015332,2671.703264014001,2458.3710457248567,1032.9395443135486,607.0096903374061,4675.848027083997,11872580640.767685
cloister,cloudini,4697483700.0,,,0.5,,LOAM,18.03,,,,,31.03,
cloister,cloudini,4697483700.0,,,0.5,,SPARK-FAST-LIO,0.76,,,,,2.6,
cloister,cloudini,4677046012.0,,,0.6,4.4,KISS-ICP,21.901415197979823,20.427996395520168,19.613415932295176,7.897401530814846,2.4529819998421942,38.95597927741062,1336845.829648279
cloister,cloudini,4646942188.0,,,0.8,4.3,KISS-ICP,23.443219529599748,21.94287595829366,20.467275171490435,8.251953501562237,4.753535007008513,36.64734268517581,1531692.118311551
cloister,draco,4265805704.0,10.0,10.0,6.0,4.0,KISS-ICP,20.407469109103555,17.404141062300827,15.95421978278968,10.656484848323585,1.1817666747537985,60.70454036580326,1160687.3848885372
cloister,draco,4265805704.0,10.0,10.0,6.0,4.0,LIORF,1166.5655520386408,1104.3283142869368,935.1927884216224,375.9443595366091,441.1664770719255,1911.9090756990413,1781385620.0490136
cloister,draco,4265805704.0,10.0,10.0,6.0,,LOAM,29.26,,,,,52.23,
cloister,draco,4265805704.0,10.0,10.0,6.0,,LOAM,29.26,,,,,52.23,
cloister,draco,4265805704.0,10.0,10.0,6.0,,SPARK-FAST-LIO,3.04,,,,,16.56,
cloister,draco,4265805704.0,10.0,10.0,6.0,,SPARK-FAST-LIO,3.04,,,,,16.56,
cloister,draco,4266335792.0,10.0,10.0,7.0,4.0,KISS-ICP,2.4965201600289824,1.689359829358667,1.1782282578744967,1.8381175904659608,0.1591099161052039,13.846897224721552,17370.292178584576
cloister,draco,4266335792.0,10.0,10.0,7.0,4.0,LIORF,2354.199724882925,2171.9690983303703,2515.013013386911,908.1886260776436,392.8165926135342,3957.696267763172,6174073567.92767
cloister,draco,4268565668.0,10.0,10.0,8.0,4.0,KISS-ICP,0.4712624672696486,0.3735169514413271,0.2975082259558622,0.2873558769941098,0.035045897677229,1.9243735123949817,618.9601284900727
cloister,draco,4268565668.0,10.0,10.0,8.0,4.0,LIORF,24.593031590571726,5.546506940640791,1.5590173080247625,23.95941283863781,0.2786415482853509,556.4879234800293,1657199.1357127137
cloister,draco,4268565668.0,10.0,10.0,8.0,,LOAM,0.16,,,,,0.44,
cloister,draco,4268565668.0,10.0,10.0,8.0,,LOAM,0.16,,,,,0.44,
cloister,draco,4268565668.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.26,,,,,1.19,
cloister,draco,4268565668.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.26,,,,,1.19,
cloister,draco,4276365008.0,10.0,10.0,9.0,4.0,KISS-ICP,0.6532345583035865,0.4565983626870639,0.3456027807903568,0.4671544962360676,0.0037931272367746,3.0137914703666,1189.2557868077215
cloister,draco,4276365008.0,10.0,10.0,9.0,4.0,LIORF,5.8216317089320135,3.759825475937945,2.5237337347159188,4.444671882707507,0.5288846647397222,23.30519552771177,94319.75438461396
cloister,draco,4298244352.0,10.0,10.0,10.0,4.0,KISS-ICP,1.663288591568808,1.19191373001621,0.8664153885625352,1.1601166316546772,0.0991114571569287,7.670778687239739,7710.316152555299
cloister,draco,4298244352.0,10.0,10.0,10.0,4.0,LIORF,23.687487589158657,4.541545656463178,1.2065881136834629,23.24804145163213,0.0810389721343859,505.306001435113,1540211.4524465671
cloister,draco,4298244352.0,10.0,10.0,10.0,,LOAM,0.14,,,,,0.41,
cloister,draco,4298244352.0,10.0,10.0,10.0,,LOAM,0.14,,,,,0.41,
cloister,draco,4298244352.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.14,,,,,0.58,
cloister,draco,4298244352.0,10.0,10.0,10.0,,SPARK-FAST-LIO,0.14,,,,,0.58,
cloister,draco,4343748180.0,10.0,10.0,11.0,4.1,KISS-ICP,0.4961231193700956,0.3680706401655724,0.2668646408834613,0.3326592151461008,0.0237849368732959,2.0861912322231584,685.9870228613839
