topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/ouster/points_decim_1,Draco sequential default quantization,2408,0.689465,0.0040393,7.61413e-13,12511.7,608.128,0,5728.08,385.81,0,1.8125,1.24966
/ouster/points_decim_1,voxel 0.010000,2409,1,0,1,985.109,192.074,0.691995,0,0,1,1.8125,1.8125
/ouster/points_decim_1,voxel 0.020000,2409,1,0,1,1361.14,179.106,0,0,0,1,1.8125,1.8125
/ouster/points_decim_1,voxel 0.050000,2409,0.989044,0.0464343,0,1431.56,538.013,0,0,0,1,1.8125,1.79264
/ouster/points_decim_1,voxel 0.100000,2409,0.609034,0.0826614,0,2783.46,461.88,1.00676e-09,0,0,1,1.8125,1.10387
/ouster/points_decim_1,voxel 0.200000,2409,0.407434,0.0546663,1.3982e-14,2480.18,162.694,0,0,0,1,1.8125,0.738474
/ouster/points_decim_1,voxel 0.500000,2409,0.173441,0.0347212,3.11056e-12,2142.45,132.964,0,0,0,1,1.8125,0.314363
/ouster/points_decim_1,uniform 0.010000,2409,0.77981,0.0848924,3.85994e-15,6766.69,552.897,5.78224e-303,0,0,1,1.8125,1.41341
/ouster/points_decim_1,uniform 0.020000,2409,0.778063,0.0843232,9.44408e-16,7236.35,749.756,0,0,0,1,1.8125,1.41024
/ouster/points_decim_1,uniform 0.050000,2409,0.73692,0.0763483,1.62455e-38,6896.25,708.912,2.08851e-74,0,0,1,1.8125,1.33567
/ouster/points_decim_1,uniform 0.100000,2409,0.600844,0.0632916,8.70955e-43,5781.76,680.105,4.98707e-183,0,0,1,1.8125,1.08903
/ouster/points_decim_1,uniform 0.200000,2409,0.407434,0.0546663,1.3982e-14,4618.46,299.686,0,0,0,1,1.8125,0.738474
/ouster/points_decim_1,uniform 0.500000,2409,0.173441,0.0347212,3.11056e-12,3432.8,207.307,2.41061e-50,0,0,1,1.8125,0.314363
/ouster/points_decim_1,random 0.100000,2409,0.0999908,0,1,922.435,38.67,0,0,0,1,1.8125,0.181233
/ouster/points_decim_1,random 0.200000,2409,0.199997,0,1,980.604,50.0488,0,0,0,1,1.8125,0.362494
/ouster/points_decim_1,random 0.300000,2409,0.299988,0,1,1061.6,50.9967,0,0,0,1,1.8125,0.543728
/ouster/points_decim_1,random 0.400000,2409,0.399994,0,1,1162.51,70.7026,0,0,0,1,1.8125,0.724989
/ouster/points_decim_1,random 0.600000,2409,0.599991,0,1,1212.97,64.9462,0,0,0,1,1.8125,1.08748
/ouster/points_decim_1,random 0.800000,2409,0.799988,0,1,1598.09,390.794,0,0,0,1,1.8125,1.44998
