data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
underground_mine,draco,1926032108,0,0,12,1.8
Spagna,draco,36154107748,10,10,12,
cloister,draco,6222531168,9,6,20,5.8
maths_institute,draco,3262010796,6,9,12,
Ciampino,cloudini,24978127189,,,0.1,
maths_institute,draco,3262010796,3,9,12,
maths_institute,draco,3174103348,6,3,12,
stairs,cloudini,1865555198,,,0.2,1.7
underground_mine,draco,2453055916,3,0,20,2.3
underground_mine,draco,3006153248,9,3,18,2.8
underground_mine,draco,3006153248,9,0,18,2.8
Ciampino,draco,26040467346,10,10,14,
cloister,cloudini,4646942188,,,0.8,4.3
underground_mine,draco,2059052580,0,0,14,1.9
cloister,draco,4266335792,10,10,7,4.0
stairs,cloudini,1808345302,,,0.8,1.7
maths_institute,raw_packets,3443091345,,,,
stairs,draco,2331260700,0,6,18,2.2
cloister,draco,4560253196,6,3,14,4.3
quad_easy,uncompressed,12526824475,,,,
stairs,draco,1529681728,10,10,7,1.4
cloister,draco,6137414384,6,3,20,5.7
stairs,draco,1689801728,6,9,12,1.6
maths_institute,draco,3985163396,0,9,18,
park,draco,23404065792,10,10,10,21.8
cloister,draco,4418866988,9,0,12,4.1
maths_institute,draco,2796429560,0,3,16,
stairs,draco,2371516800,6,9,18,2.2
cloister,cloudini,4757115220,,,0.3,4.4
cloister,draco,4560253196,3,6,14,4.3
underground_mine,draco,2463703764,9,6,14,2.3
cloister,draco,3619824816,0,3,12,3.4
underground_mine,draco,2253407780,6,0,12,2.1
stairs,draco,1397753260,3,3,12,1.3
stairs,draco,1689801728,3,9,12,1.6
maths_institute,draco,3418576528,3,9,14,
Ciampino,draco,24750594086,10,10,6,
stairs,draco,2654520880,0,9,20,2.5
stairs,draco,1809190320,0,6,14,1.7
quad_easy,cloudini,3449910499,,,0.2,999.7
underground_mine,draco,1926032108,0,3,12,1.8
maths_institute,draco,2952693764,3,0,18,
stairs,draco,1615157956,3,0,16,1.5
park,uncompressed,98918500450,,,,
cloister,draco,4312582484,6,6,12,4.0
stairs,draco,2371516800,9,3,18,2.2
Colosseo,draco,21673349010,10,10,6,
Campus,cloudini,9511991507,,,0.2,
maths_institute,draco,3330458312,6,3,14,
maths_institute,draco,3165096216,10,10,7,3.0
cloister,draco,5048870492,9,3,16,4.7
stairs,draco,2620009980,6,3,20,2.4
maths_institute,draco,3418576528,10,10,14,
stairs,draco,1723580696,0,3,18,1.6
Spagna,cloudini,41958102432,,,0.2,
cloister,draco,3619824816,0,0,12,3.4
stairs,draco,1856494360,0,9,14,1.7
underground_mine,draco,3334737900,0,9,20,3.1
maths_institute,draco,3213153556,10,10,11,3.0
stairs,draco,2371516800,9,6,18,2.2
stairs,cloudini,1829998930,,,0.4,1.7
DIAG,cloudini,29250191625,,,0.5,
Pincio,uncompressed,84721647080,,,,
stairs,cloudini,1955167626,,,0.01,
underground_mine,draco,1926032108,3,3,12,1.8
stairs,draco,2654520880,3,9,20,2.5
cloister,draco,5588947028,9,9,18,5.2
cloister,draco,4268565668,10,10,8,4.0
cloister,draco,4665217692,9,3,14,4.4
cloister,raw_packets,4443375765,,,,
maths_institute,draco,3910778672,0,6,18,
maths_institute,draco,2796429560,0,0,16,
maths_institute,draco,4294576260,6,3,20,
cloister,draco,4121511892,0,0,16,3.8
Pincio,draco,29576815300,10,10,8,
cloister,draco,4665217692,9,0,14,4.4
maths_institute,draco,3174103348,3,6,12,
maths_institute,draco,2484387296,0,3,12,
Colosseo,draco,21750601670,10,10,10,
maths_institute,draco,3106625776,0,3,20,
cloister,cloudini,4800823136,,,0.2,4.5
cloister,draco,5048870492,9,6,16,4.7
underground_mine,draco,2254504332,10,10,11,2.1
underground_mine,draco,2410122860,3,6,14,2.2
Spagna,cloudini,42540207972,,,0.1,
underground_mine,draco,2648470272,6,0,16,2.5
maths_institute,draco,3985163396,6,9,18,
cloister,draco,4418866988,3,9,12,4.1
cloister,draco,5588947028,3,9,18,5.2
maths_institute,cloudini,3582529848,,,0.8,3.3
Spagna,uncompressed,107528982080,,,,
cloister,draco,4265805704,10,10,6,4.0
Ciampino,draco,24797923298,10,10,10,
maths_institute,draco,2640028980,3,0,14,
